Код,Вариант,1 (1б),2 (1б),3 (1б),4 (1б),5(1б),6 (2б),7 (1б),8 (2б),9 (1б),10 (1б),11 (1б),12 (1б),13 (1б),14 (1б),15 (2б),16.1 (1б),16.2 (1б),17 (1б),18 (2б),19 (2б),"Класс № (список формируется из листа ""Классы"")",Пол,Отметка за предыдущий триместр/ четверть/полугодие,Итого баллов,Оценка ВПР,Сравнение оценки
80147,2,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6,м,3,9,3,подтвердил
80148,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,6,м,4,9,3,понизил
80149,2,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,6,ж,2,8,3,повысил
80150,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,м,3,3,2,понизил
80151,2,1,0,0,1,0,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,6,м,3,9,3,подтвердил
80152,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,м,2,4,2,подтвердил
80153,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,6,м,3,8,3,подтвердил
80154,1,0,1,1,1,0,2,0,2,0,0,1,1,0,1,0,1,1,0,0,0,6,м,3,12,3,подтвердил
80155,2,0,0,1,1,0,2,0,2,1,0,1,1,0,0,0,1,1,0,0,0,6,м,4,11,3,понизил
80156,1,1,1,1,0,0,2,0,2,0,1,1,1,0,0,0,1,1,0,0,2,6,м,3,14,3,подтвердил
80157,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,м,3,2,2,понизил
80158,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,м,3,2,2,понизил
80159,2,1,1,1,0,0,1,0,2,1,0,1,0,0,1,0,0,1,0,0,0,6,м,3,10,3,подтвердил
80160,2,1,0,0,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,6,м,3,8,3,подтвердил
80001,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,м,2,8,3,повысил
80002,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,ж,5,7,2,понизил
80003,1,0,1,1,0,0,0,1,2,0,1,0,0,1,1,0,1,1,0,0,2,1,ж,4,12,3,понизил
80004,2,1,1,1,1,1,2,1,2,1,0,0,0,0,1,0,1,1,0,0,0,1,ж,5,14,3,понизил
80005,2,1,0,1,1,0,2,1,2,1,1,1,0,0,1,0,1,1,0,0,0,1,м,4,14,3,понизил
80006,1,1,1,1,0,1,1,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,м,3,11,3,подтвердил
80007,1,1,0,1,1,0,2,1,1,0,0,1,1,0,1,0,1,0,0,0,2,1,м,3,13,3,подтвердил
80008,отсутствовал,,,,,,,,,,,,,,,,,,,,,,,,,,
80009,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,м,3,8,3,подтвердил
80010,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ж,2,3,2,подтвердил
80011,2,1,1,0,0,1,2,0,2,1,1,1,0,1,0,0,1,0,0,0,0,1,м,3,12,3,подтвердил
80012,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,м,3,3,2,понизил
80013,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,ж,5,8,3,понизил
