Код,Вариант,1К1 (4б),1К2 (3б),1К3 (2б),2К1 (3б),2К2 (3б),2К3 (3б),3.1 (1б),3.2 (3б),4.1 (1б),4.2 (3б),5 (2б),6 (2б),7 (2б),8 (2б),9 (1б),10 (1б),11.1 (2б),11.2 (3б),12 (1б),13 (1б),14.1 (1б),14.2 (1б),15.1 (1б),15.2 (2б),16.1 (1б),16.2 (1б),17 (1б),"Класс № (список формируется из листа ""Классы"")",Пол,Отметка за предыдущий триместр/ четверть/полугодие,Итого баллов,Оценка ВПР,Сравнение оценки
80061,2,3,2,2,3,3,3,1,3,1,2,2,2,0,1,1,1,2,3,0,1,0,0,1,2,1,1,1,3,м,4,42,4,подтвердил
80062,1,3,0,2,3,3,2,1,3,0,0,2,1,1,2,1,1,2,3,1,1,0,0,1,2,1,1,1,3,м,4,38,4,подтвердил
80063,1,3,2,2,3,1,3,1,2,0,0,2,2,1,2,1,1,1,0,1,1,0,0,1,2,1,1,0,3,м,3,34,4,повысил
80064,2,3,1,2,3,3,2,1,3,1,2,2,2,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,3,ж,4,44,4,подтвердил
80065,1,3,0,2,3,3,3,1,3,1,2,1,2,2,2,1,1,2,3,1,1,1,1,1,2,1,1,1,3,м,4,45,5,повысил
80066,1,3,3,2,3,2,1,1,2,0,0,2,1,1,2,0,1,1,0,1,1,0,0,1,0,1,0,1,3,м,3,30,3,подтвердил
80067,2,3,3,2,3,3,3,1,3,1,2,2,2,2,2,1,1,2,3,1,1,1,1,1,2,1,1,1,3,м,4,49,5,повысил
80068,2,3,3,2,3,3,3,1,3,1,3,2,2,1,2,1,1,2,3,1,1,1,1,1,2,1,1,1,3,ж,5,49,5,подтвердил
80069,1,0,0,2,2,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,X,1,0,0,0,1,0,1,3,м,2,14,2,подтвердил
80070,2,3,3,2,3,3,3,1,3,1,3,2,2,0,0,1,1,2,3,1,1,1,1,1,2,1,1,1,3,м,4,46,5,повысил
80071,1,3,2,2,3,3,3,0,0,X,X,2,2,1,2,1,1,2,2,1,1,1,1,1,0,1,1,1,3,ж,3,37,4,повысил
80072,1,0,0,2,3,2,1,1,2,X,X,2,1,0,0,1,1,X,X,1,1,0,0,0,0,0,0,1,3,м,3,19,2,понизил
80073,2,3,3,2,3,3,3,1,3,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,3,ж,4,47,5,повысил
80074,1,2,1,2,3,1,2,1,3,1,3,1,0,1,2,0,1,0,0,0,1,X,X,1,0,1,0,1,3,м,3,28,3,подтвердил
80075,2,3,3,2,3,3,2,1,3,1,2,1,2,1,1,1,1,2,3,1,1,0,0,1,2,1,1,1,3,ж,4,43,4,подтвердил
